#TENSORS 219
#DATASEG 3987425280
model.layers.21.mlp.up_proj.weight | BF16 | [9728,2560] | 1158745600 | 49807360 | 1701280924804684609
model.layers.21.post_attention_layernorm.weight | BF16 | [2560] | 1208552960 | 5120 | 5881443533565609842
model.layers.21.self_attn.k_norm.weight | BF16 | [128] | 1208558080 | 256 | 5943241950708749925
model.layers.21.self_attn.k_proj.weight | BF16 | [1024,2560] | 1208558336 | 5242880 | 15464154044001359116
model.layers.21.self_attn.o_proj.weight | BF16 | [2560,4096] | 1213801216 | 20971520 | 5876530345789319231
model.layers.21.self_attn.q_norm.weight | BF16 | [128] | 1234772736 | 256 | 14086442239550997284
model.layers.21.self_attn.q_proj.weight | BF16 | [4096,2560] | 1234772992 | 20971520 | 10581753627666204679
model.layers.21.self_attn.v_proj.weight | BF16 | [1024,2560] | 1255744512 | 5242880 | 8549614768847170424
model.layers.22.input_layernorm.weight | BF16 | [2560] | 1260987392 | 5120 | 18314998601009767222
model.layers.22.mlp.down_proj.weight | BF16 | [2560,9728] | 1260992512 | 49807360 | 10672553845639058969
model.layers.22.mlp.gate_proj.weight | BF16 | [9728,2560] | 1310799872 | 49807360 | 12271210209232312257
model.layers.22.mlp.up_proj.weight | BF16 | [9728,2560] | 1360607232 | 49807360 | 7483974918304275452
model.layers.22.post_attention_layernorm.weight | BF16 | [2560] | 1410414592 | 5120 | 17960331591593436893
model.layers.22.self_attn.k_norm.weight | BF16 | [128] | 1410419712 | 256 | 16872630243225750598
model.layers.22.self_attn.k_proj.weight | BF16 | [1024,2560] | 1410419968 | 5242880 | 2496226783550594167
model.layers.22.self_attn.o_proj.weight | BF16 | [2560,4096] | 1415662848 | 20971520 | 12566950776832293989
model.layers.22.self_attn.q_norm.weight | BF16 | [128] | 1436634368 | 256 | 12894637446071113141
model.layers.22.self_attn.q_proj.weight | BF16 | [4096,2560] | 1436634624 | 20971520 | 11228085680509649675
model.layers.22.self_attn.v_proj.weight | BF16 | [1024,2560] | 1457606144 | 5242880 | 5951070956898561635
model.layers.23.input_layernorm.weight | BF16 | [2560] | 1462849024 | 5120 | 10944233916784616685
model.layers.23.mlp.down_proj.weight | BF16 | [2560,9728] | 1462854144 | 49807360 | 568845634221061743
model.layers.23.mlp.gate_proj.weight | BF16 | [9728,2560] | 1512661504 | 49807360 | 3526332765670463917
model.layers.23.mlp.up_proj.weight | BF16 | [9728,2560] | 1562468864 | 49807360 | 8390961465192187218
model.layers.23.post_attention_layernorm.weight | BF16 | [2560] | 1612276224 | 5120 | 29376076210138661
model.layers.23.self_attn.k_norm.weight | BF16 | [128] | 1612281344 | 256 | 6783859601253116782
model.layers.23.self_attn.k_proj.weight | BF16 | [1024,2560] | 1612281600 | 5242880 | 4520546553507184053
model.layers.23.self_attn.o_proj.weight | BF16 | [2560,4096] | 1617524480 | 20971520 | 4584954797110205943
model.layers.23.self_attn.q_norm.weight | BF16 | [128] | 1638496000 | 256 | 2297665230273344162
model.layers.23.self_attn.q_proj.weight | BF16 | [4096,2560] | 1638496256 | 20971520 | 9358889749318995777
model.layers.23.self_attn.v_proj.weight | BF16 | [1024,2560] | 1659467776 | 5242880 | 249041807622877371
model.layers.24.input_layernorm.weight | BF16 | [2560] | 1664710656 | 5120 | 12709810492136293452
model.layers.24.mlp.down_proj.weight | BF16 | [2560,9728] | 1664715776 | 49807360 | 17950632239649540149
model.layers.24.mlp.gate_proj.weight | BF16 | [9728,2560] | 1714523136 | 49807360 | 10715794634770966376
model.layers.24.mlp.up_proj.weight | BF16 | [9728,2560] | 1764330496 | 49807360 | 7100634934222363070
model.layers.24.post_attention_layernorm.weight | BF16 | [2560] | 1814137856 | 5120 | 3743058043007091304
model.layers.24.self_attn.k_norm.weight | BF16 | [128] | 1814142976 | 256 | 2916789960603934482
model.layers.24.self_attn.k_proj.weight | BF16 | [1024,2560] | 1814143232 | 5242880 | 4494381286103282619
model.layers.24.self_attn.o_proj.weight | BF16 | [2560,4096] | 1819386112 | 20971520 | 80823406930838223
model.layers.24.self_attn.q_norm.weight | BF16 | [128] | 1840357632 | 256 | 8973811173079975391
model.layers.24.self_attn.q_proj.weight | BF16 | [4096,2560] | 1840357888 | 20971520 | 14031639200142897766
model.layers.24.self_attn.v_proj.weight | BF16 | [1024,2560] | 1861329408 | 5242880 | 3879114586541249856
model.layers.25.input_layernorm.weight | BF16 | [2560] | 1866572288 | 5120 | 417900860178411944
model.layers.25.mlp.down_proj.weight | BF16 | [2560,9728] | 1866577408 | 49807360 | 14821611369704788678
model.layers.25.mlp.gate_proj.weight | BF16 | [9728,2560] | 1916384768 | 49807360 | 6121139999733865733
model.layers.25.mlp.up_proj.weight | BF16 | [9728,2560] | 1966192128 | 49807360 | 14747065191473827799
model.layers.25.post_attention_layernorm.weight | BF16 | [2560] | 2015999488 | 5120 | 13630610016315502739
model.layers.25.self_attn.k_norm.weight | BF16 | [128] | 2016004608 | 256 | 552208801286719880
model.layers.25.self_attn.k_proj.weight | BF16 | [1024,2560] | 2016004864 | 5242880 | 2540572256410713974
model.layers.25.self_attn.o_proj.weight | BF16 | [2560,4096] | 2021247744 | 20971520 | 18024696497450031280
model.layers.25.self_attn.q_norm.weight | BF16 | [128] | 2042219264 | 256 | 10740699846990816405
model.layers.25.self_attn.q_proj.weight | BF16 | [4096,2560] | 2042219520 | 20971520 | 1564904530074056764
model.layers.25.self_attn.v_proj.weight | BF16 | [1024,2560] | 2063191040 | 5242880 | 14745878272595399443
model.layers.26.input_layernorm.weight | BF16 | [2560] | 2068433920 | 5120 | 9678575049315073527
model.layers.26.mlp.down_proj.weight | BF16 | [2560,9728] | 2068439040 | 49807360 | 12271897560963970071
model.layers.26.mlp.gate_proj.weight | BF16 | [9728,2560] | 2118246400 | 49807360 | 6816528055193939683
model.layers.26.mlp.up_proj.weight | BF16 | [9728,2560] | 2168053760 | 49807360 | 11755438866714678821
model.layers.26.post_attention_layernorm.weight | BF16 | [2560] | 2217861120 | 5120 | 14826137181364004070
model.layers.26.self_attn.k_norm.weight | BF16 | [128] | 2217866240 | 256 | 7053437480803537405
model.layers.26.self_attn.k_proj.weight | BF16 | [1024,2560] | 2217866496 | 5242880 | 17685535022925837313
model.layers.26.self_attn.o_proj.weight | BF16 | [2560,4096] | 2223109376 | 20971520 | 3491520767350508415
model.layers.26.self_attn.q_norm.weight | BF16 | [128] | 2244080896 | 256 | 15761818705032869872
model.layers.26.self_attn.q_proj.weight | BF16 | [4096,2560] | 2244081152 | 20971520 | 1883812772205343521
model.layers.26.self_attn.v_proj.weight | BF16 | [1024,2560] | 2265052672 | 5242880 | 8212450466762533802
model.layers.27.input_layernorm.weight | BF16 | [2560] | 2270295552 | 5120 | 8532437503420688841
model.layers.27.mlp.down_proj.weight | BF16 | [2560,9728] | 2270300672 | 49807360 | 875644036340053679
model.layers.27.mlp.gate_proj.weight | BF16 | [9728,2560] | 2320108032 | 49807360 | 1867322394823829484
model.layers.27.mlp.up_proj.weight | BF16 | [9728,2560] | 2369915392 | 49807360 | 3150597692471020446
model.layers.27.post_attention_layernorm.weight | BF16 | [2560] | 2419722752 | 5120 | 6499986636363085965
model.layers.27.self_attn.k_norm.weight | BF16 | [128] | 2419727872 | 256 | 14155839996002981582
model.layers.27.self_attn.k_proj.weight | BF16 | [1024,2560] | 2419728128 | 5242880 | 545507277541706799
model.layers.27.self_attn.o_proj.weight | BF16 | [2560,4096] | 2424971008 | 20971520 | 13280692841801108205
model.layers.27.self_attn.q_norm.weight | BF16 | [128] | 2445942528 | 256 | 5633793113929256377
model.layers.27.self_attn.q_proj.weight | BF16 | [4096,2560] | 2445942784 | 20971520 | 5095509212636610178
model.layers.27.self_attn.v_proj.weight | BF16 | [1024,2560] | 2466914304 | 5242880 | 11268032448894255038
model.layers.28.input_layernorm.weight | BF16 | [2560] | 2472157184 | 5120 | 3827918600445449486
model.layers.28.mlp.down_proj.weight | BF16 | [2560,9728] | 2472162304 | 49807360 | 99417659021645246
model.layers.28.mlp.gate_proj.weight | BF16 | [9728,2560] | 2521969664 | 49807360 | 1993478535966969305
model.layers.28.mlp.up_proj.weight | BF16 | [9728,2560] | 2571777024 | 49807360 | 10341541581467634286
model.layers.28.post_attention_layernorm.weight | BF16 | [2560] | 2621584384 | 5120 | 8185811482952100126
model.layers.28.self_attn.k_norm.weight | BF16 | [128] | 2621589504 | 256 | 8569424437103642119
model.layers.28.self_attn.k_proj.weight | BF16 | [1024,2560] | 2621589760 | 5242880 | 6635020966610206462
model.layers.28.self_attn.o_proj.weight | BF16 | [2560,4096] | 2626832640 | 20971520 | 2952069172694837008
