#TENSORS 423
#DATASEG 9973681280
layers.1.ffn_norm1.weight | BF16 | [3840] | 1454123136 | 7680 | 230712827045346345
layers.1.ffn_norm2.weight | BF16 | [3840] | 1454130816 | 7680 | 1017654424509595963
layers.10.adaLN_modulation.0.bias | BF16 | [15360] | 1454138496 | 30720 | 17483612978650320292
layers.10.adaLN_modulation.0.weight | BF16 | [15360,256] | 1454169216 | 7864320 | 2059106053904327109
layers.10.attention.norm_k.weight | BF16 | [128] | 1462033536 | 256 | 14102523633189964268
layers.10.attention.norm_q.weight | BF16 | [128] | 1462033792 | 256 | 6209546306582231114
layers.10.attention.to_k.weight | BF16 | [3840,3840] | 1462034048 | 29491200 | 1615797451793339747
layers.10.attention.to_out.0.weight | BF16 | [3840,3840] | 1491525248 | 29491200 | 10704349324263067778
layers.10.attention.to_q.weight | BF16 | [3840,3840] | 1521016448 | 29491200 | 9704261259729471264
layers.10.attention.to_v.weight | BF16 | [3840,3840] | 1550507648 | 29491200 | 2276354633033699105
layers.10.attention_norm1.weight | BF16 | [3840] | 1579998848 | 7680 | 16600029909712696468
layers.10.attention_norm2.weight | BF16 | [3840] | 1580006528 | 7680 | 2403782690673138642
layers.10.feed_forward.w1.weight | BF16 | [10240,3840] | 1580014208 | 78643200 | 941906500480421783
layers.10.feed_forward.w2.weight | BF16 | [3840,10240] | 1658657408 | 78643200 | 7861605557764869270
layers.10.feed_forward.w3.weight | BF16 | [10240,3840] | 1737300608 | 78643200 | 2098241494948549335
layers.10.ffn_norm1.weight | BF16 | [3840] | 1815943808 | 7680 | 10821416206647171298
layers.10.ffn_norm2.weight | BF16 | [3840] | 1815951488 | 7680 | 7584096104876815379
layers.11.adaLN_modulation.0.bias | BF16 | [15360] | 1815959168 | 30720 | 7361851085566107212
layers.11.adaLN_modulation.0.weight | BF16 | [15360,256] | 1815989888 | 7864320 | 6762561074782819654
layers.11.attention.norm_k.weight | BF16 | [128] | 1823854208 | 256 | 2022414846550819217
layers.11.attention.norm_q.weight | BF16 | [128] | 1823854464 | 256 | 2739289230759092945
layers.11.attention.to_k.weight | BF16 | [3840,3840] | 1823854720 | 29491200 | 13704223026483660530
layers.11.attention.to_out.0.weight | BF16 | [3840,3840] | 1853345920 | 29491200 | 10128654260474107740
layers.11.attention.to_q.weight | BF16 | [3840,3840] | 1882837120 | 29491200 | 14130255925255815610
layers.11.attention.to_v.weight | BF16 | [3840,3840] | 1912328320 | 29491200 | 16686479104205787425
layers.11.attention_norm1.weight | BF16 | [3840] | 1941819520 | 7680 | 977780612917626503
layers.11.attention_norm2.weight | BF16 | [3840] | 1941827200 | 7680 | 14683283994241917574
layers.11.feed_forward.w1.weight | BF16 | [10240,3840] | 1941834880 | 78643200 | 12749549651133625108
layers.11.feed_forward.w2.weight | BF16 | [3840,10240] | 2020478080 | 78643200 | 6170522671524086880
layers.11.feed_forward.w3.weight | BF16 | [10240,3840] | 2099121280 | 78643200 | 1657790793832824606
layers.11.ffn_norm1.weight | BF16 | [3840] | 2177764480 | 7680 | 15145272423455874748
layers.11.ffn_norm2.weight | BF16 | [3840] | 2177772160 | 7680 | 14623764326711299871
layers.12.adaLN_modulation.0.bias | BF16 | [15360] | 2177779840 | 30720 | 5021502990479197792
layers.12.adaLN_modulation.0.weight | BF16 | [15360,256] | 2177810560 | 7864320 | 1894277027069134948
layers.12.attention.norm_k.weight | BF16 | [128] | 2185674880 | 256 | 16985179509334496109
layers.12.attention.norm_q.weight | BF16 | [128] | 2185675136 | 256 | 872273794020343963
layers.12.attention.to_k.weight | BF16 | [3840,3840] | 2185675392 | 29491200 | 10771062912455301308
layers.12.attention.to_out.0.weight | BF16 | [3840,3840] | 2215166592 | 29491200 | 17556852369991037303
layers.12.attention.to_q.weight | BF16 | [3840,3840] | 2244657792 | 29491200 | 10297004445298227325
layers.12.attention.to_v.weight | BF16 | [3840,3840] | 2274148992 | 29491200 | 2913716472676636275
layers.12.attention_norm1.weight | BF16 | [3840] | 2303640192 | 7680 | 17173887267757441118
layers.12.attention_norm2.weight | BF16 | [3840] | 2303647872 | 7680 | 17955577276139761516
layers.12.feed_forward.w1.weight | BF16 | [10240,3840] | 2303655552 | 78643200 | 13309475486218050119
layers.12.feed_forward.w2.weight | BF16 | [3840,10240] | 2382298752 | 78643200 | 1356521583752101184
layers.12.feed_forward.w3.weight | BF16 | [10240,3840] | 2460941952 | 78643200 | 12787707884364763277
layers.12.ffn_norm1.weight | BF16 | [3840] | 2539585152 | 7680 | 8208292615010081979
layers.12.ffn_norm2.weight | BF16 | [3840] | 2539592832 | 7680 | 8125519856492785520
layers.13.adaLN_modulation.0.bias | BF16 | [15360] | 2539600512 | 30720 | 177583051956325617
layers.13.adaLN_modulation.0.weight | BF16 | [15360,256] | 2539631232 | 7864320 | 8973177151962487197
