#TENSORS 244
#DATASEG 167639366
decoder.up_blocks.1.resnets.0.conv1.weight | BF16 | [512,512,3,3] | 54196486 | 4718592 | 5599698169584534597
decoder.up_blocks.1.resnets.0.conv2.bias | BF16 | [512] | 58915078 | 1024 | 3800378181625461855
decoder.up_blocks.1.resnets.0.conv2.weight | BF16 | [512,512,3,3] | 58916102 | 4718592 | 8990650248433641378
decoder.up_blocks.1.resnets.0.norm1.bias | BF16 | [512] | 63634694 | 1024 | 15962288596672234981
decoder.up_blocks.1.resnets.0.norm1.weight | BF16 | [512] | 63635718 | 1024 | 12636959835471576682
decoder.up_blocks.1.resnets.0.norm2.bias | BF16 | [512] | 63636742 | 1024 | 6861092716768918053
decoder.up_blocks.1.resnets.0.norm2.weight | BF16 | [512] | 63637766 | 1024 | 8625139173562130740
decoder.up_blocks.1.resnets.1.conv1.bias | BF16 | [512] | 63638790 | 1024 | 16299498607545823885
decoder.up_blocks.1.resnets.1.conv1.weight | BF16 | [512,512,3,3] | 63639814 | 4718592 | 5773659783374758904
decoder.up_blocks.1.resnets.1.conv2.bias | BF16 | [512] | 68358406 | 1024 | 7516760349022176683
decoder.up_blocks.1.resnets.1.conv2.weight | BF16 | [512,512,3,3] | 68359430 | 4718592 | 13921491461434426255
decoder.up_blocks.1.resnets.1.norm1.bias | BF16 | [512] | 73078022 | 1024 | 742121673785782020
decoder.up_blocks.1.resnets.1.norm1.weight | BF16 | [512] | 73079046 | 1024 | 13902647133270504165
decoder.up_blocks.1.resnets.1.norm2.bias | BF16 | [512] | 73080070 | 1024 | 5376007479330925864
decoder.up_blocks.1.resnets.1.norm2.weight | BF16 | [512] | 73081094 | 1024 | 18247037001457329212
decoder.up_blocks.1.resnets.2.conv1.bias | BF16 | [512] | 73082118 | 1024 | 11777146740662913245
decoder.up_blocks.1.resnets.2.conv1.weight | BF16 | [512,512,3,3] | 73083142 | 4718592 | 2668174030093757252
decoder.up_blocks.1.resnets.2.conv2.bias | BF16 | [512] | 77801734 | 1024 | 2702635914325705722
decoder.up_blocks.1.resnets.2.conv2.weight | BF16 | [512,512,3,3] | 77802758 | 4718592 | 5323123453916737744
decoder.up_blocks.1.resnets.2.norm1.bias | BF16 | [512] | 82521350 | 1024 | 2142451994616823116
decoder.up_blocks.1.resnets.2.norm1.weight | BF16 | [512] | 82522374 | 1024 | 10710637391543165258
